url,text,date
https://www.nytimes.com/2018/01/01/us/politics/trump-businesses-regulation-economic-growth.html?searchResultPosition=1,"The Trump Effect: Business, Anticipating Less Regulation, Loosens Purse Strings
The administration’s campaign to reduce regulation has improved the mood of business executives. They may be spending more money as a result.
By Binyamin Appelbaum and Jim Tankersley
PRINT EDITIONWith Red Tape Losing Its Grip, Firms Ante Up|January 2, 2018, Page A1",2018-01-01
https://www.nytimes.com/2018/01/02/us/politics/service-member-killed-afghanistan.html?searchResultPosition=1,"U.S. Service Member Is Killed in Afghan Province
Four service members were wounded after a skirmish on Monday in Nangarhar Province in eastern Afghanistan.
By Helene Cooper
PRINT EDITION
January 3, 2018",2018-01-02
https://www.nytimes.com/2018/01/03/us/motel-6-immigration-washington.html?searchResultPosition=1,"Motel 6 Gave Guest Lists to Immigration Agents in Washington State, Lawsuit Says
The suit, brought by the state attorney general, suggests that employees helped ICE agents beyond Arizona, where the practice was revealed last year.
By Caitlin Dickerson
PRINT EDITION
January 4, 2018",2018-01-03
https://www.nytimes.com/2018/01/04/us/politics/senate-trump-immigration-daca-deal.html?searchResultPosition=1,"Senators and Trump Inch Toward DACA Deal, but a Wall Divides Them
Democrats and Republicans remain divided over the shape and scope of a package that would restore protections for young unauthorized immigrants and bolster border security.
By Sheryl Gay Stolberg
PRINT EDITIONProgress Is Made on Deal To Protect Young Migrants|January 5, 2018, Page A12",2018-01-04
https://www.nytimes.com/2018/01/05/us/politics/trump-the-post-white-house-screening.html?searchResultPosition=1,"As Trump Targets the Press, His White House Is Screening a Journalism Tribute
While President Trump ramps up his attacks on the news media, the White House is set to screen two movies. One is about journalism. The other is about P.T. Barnum.
By Katie Rogers
PRINT EDITIONAfter a Long Day of Criticizing the Media, a Movie for the President to Enjoy|January 6, 2018, Page A12",2018-01-05
https://www.nytimes.com/2018/01/07/us/politics/trump-farmers-agriculture-trade-taxes.html?searchResultPosition=1,"As Trump Appeals to Farmers, Some of His Policies Don’t
The president will cast himself as a friend to farmers in a speech on Monday, but his position on trade and some parts of the new tax law threaten to undercut their interests.
By Ana Swanson and Jim Tankersley
PRINT EDITIONAs Trump Appeals to Farmers, Some of the Policies He’s Pursuing Don’t|January 8, 2018, Page A12",2018-01-07
https://www.nytimes.com/2018/01/08/us/politics/trump-border-wall-funding-surveillance.html?searchResultPosition=1,"To Pay for Wall, Trump Would Cut Proven Border Security Measures
Experts say some measures targeted are more effective than a wall, resulting in an approach a Republican congressman called “a third-century solution to a 21st-century problem.”
By Ron Nixon
PRINT EDITIONTo Pay for Border Wall, Proven Security Measures Could Be Curtailed|January 9, 2018, Page A14",2018-01-08
https://www.nytimes.com/2018/01/09/us/politics/trump-azar-drug-prices.html?searchResultPosition=1,"Trump Likes Drug Price Negotiations; His Nominee for Health Secretary Doesn’t
Alex M. Azar II, President Trump’s nominee for health secretary, told senators that he was wary of proposals for Medicare to negotiate drug prices.
By Robert Pear
PRINT EDITIONHealth Nominee Is Wary Of Negotiating Drug Prices|January 10, 2018, Page A12",2018-01-09
https://www.nytimes.com/2018/01/10/us/politics/canada-us-tariffs-wto.html?searchResultPosition=1,"Canada Attacks U.S. Tariffs by Taking Case to World Trade Organization
A sweeping challenge to the Trump administration’s “America First” policies could add to tensions already frayed by Nafta negotiations.
By Ana Swanson and Ian Austen
PRINT EDITIONCanada Challenges U.S. Tariffs In Appeal to World Trade Body|January 11, 2018, Page B1",2018-01-10
https://www.nytimes.com/2018/01/11/us/deyshia-hargrave-louisiana-teacher-rally.html?searchResultPosition=1,"‘I Want Change to Come From This,’ Louisiana Teacher Says of Arrest
Deyshia Hargrave was arrested at a school board meeting on Monday after speaking out against a renewed contract for the district’s superintendent.
By Daniel Victor
PRINT EDITION
January 12, 2018",2018-01-11
